2020-05-05T19:34:27.413+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | RequestAddCookies | CookieSpec selected: default
2020-05-05T19:34:27.415+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | RequestAuthCache | Auth cache not set in the context
2020-05-05T19:34:27.415+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection request: [route: {}->http://localhost:6328][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:27.415+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection leased: [id: 0][route: {}->http://localhost:6328][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:27.415+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Stale connection check
2020-05-05T19:34:27.417+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "[read] I/O error: Read timed out"
2020-05-05T19:34:27.417+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | DefaultManagedHttpClientConnection | http-outgoing-0: set socket timeout to 10800000
2020-05-05T19:34:27.417+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Executing request POST /session/267c4e8519d88a79111d7f4e9694f899/window/current/maximize HTTP/1.1
2020-05-05T19:34:27.418+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Target auth state: UNCHALLENGED
2020-05-05T19:34:27.418+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Proxy auth state: UNCHALLENGED
2020-05-05T19:34:27.418+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> POST /session/267c4e8519d88a79111d7f4e9694f899/window/current/maximize HTTP/1.1
2020-05-05T19:34:27.418+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2020-05-05T19:34:27.419+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Content-Length: 26
2020-05-05T19:34:27.419+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Host: localhost:6328
2020-05-05T19:34:27.419+0530 |[Forwarding maximizeWindow on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Connection: Keep-Alive
